audio_Id,action,adventure,advertising,calm,children,dark,documentary,holiday,party,trailer
948,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
950,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
951,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2263,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3346,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3348,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3349,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3350,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4629,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4631,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4632,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4638,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4639,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4640,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4882,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4883,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4884,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5083,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5084,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5086,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5089,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5634,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
5635,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
5636,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
5637,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
